seqno,timestamp,lost,rtt
0,1764941368571142474,0,17.090251
1,1764941368581306294,0,19.24753
2,1764941368590888013,0,21.879153
3,1764941368600899832,0,23.659621
4,1764941368610972652,0,17.344406
5,1764941368621252972,0,19.502421
6,1764941368631145191,0,21.190697
7,1764941368640814310,0,19.515815
8,1764941368650958730,0,17.46545
9,1764941368660961549,0,19.553846
10,1764941368671023069,0,17.496248
11,1764941368680925588,0,15.630485
12,1764941368690999108,0,21.544161
13,1764941368701006128,0,19.428772
14,1764941368711203047,0,17.435948
15,1764941368720973667,0,23.468697
16,1764941368731099286,0,21.307492
17,1764941368741092306,0,23.584963
18,1764941368751141925,0,21.333147
19,1764941368760914544,0,20.02085
20,1764941368771068064,0,18.73888
21,1764941368780896983,0,23.787594
22,1764941368791283104,0,18.251271
23,1764941368801526024,0,19.14374
24,1764941368811136143,0,18.648699
25,1764941368820818661,0,28.941829
26,1764941368831271282,0,26.367148
27,1764941368841580202,0,24.087337
28,1764941368851225821,0,18.32321
29,1764941368861516441,0,19.80761
30,1764941368871104560,0,17.77308
31,1764941368881404580,0,23.583822
32,1764941368891284599,0,34.746567
33,1764941368901548919,0,27.214042
34,1764941368910690737,0,18.124024
35,1764941368921153957,0,20.190356
36,1764941368931192477,0,18.689672
37,1764941368940713495,0,17.289101
38,1764941368951344016,0,18.105791
39,1764941368961387036,0,19.282936
40,1764941368970920554,0,21.635644
41,1764941368980815474,0,19.719238
42,1764941368990847793,0,18.001007
43,1764941369000997313,0,15.463252
44,1764941369011206733,0,17.284348
45,1764941369020953652,0,19.611875
46,1764941369031010972,0,17.281937
47,1764941369041023191,0,19.14982
48,1764941369051108911,0,21.354222
49,1764941369061048730,0,16.194501
50,1764941369070811849,0,17.86608
51,1764941369080793369,0,15.940942
52,1764941369091358090,0,17.95004
53,1764941369101284409,0,24.354531
54,1764941369110796528,0,21.474997
55,1764941369120827647,0,32.007297
56,1764941369131279367,0,21.514946
57,1764941369140959586,0,27.871577
58,1764941369151404107,0,20.961388
59,1764941369161374726,0,23.15124
60,1764941369171492446,0,16.980725
61,1764941369180811364,0,19.213159
62,1764941369190842784,0,17.230821
63,1764941369200937103,0,19.004943
64,1764941369210916723,0,25.02329
65,1764941369220881542,0,31.045045
66,1764941369230940162,0,21.011425
67,1764941369240923282,0,18.99621
68,1764941369250974701,0,24.955028
69,1764941369260905221,0,15.034073
70,1764941369270982840,0,25.010817
71,1764941369280933760,0,31.28941
72,1764941369291175880,0,28.66512
