seqno,timestamp,lost,rtt
0,1764950401715808399,0,32.839639
1,1764950401725870785,0,22.807355
2,1764950401735611772,0,29.405243
3,1764950401745945657,0,29.18962
4,1764950401756006643,0,40.997864
5,1764950401765698130,0,41.850612
6,1764950401775571416,0,32.027248
7,1764950401785770702,0,21.83982
8,1764950401795873488,0,22.176887
9,1764950401805539075,0,23.98433
10,1764950401816127460,0,24.644002
11,1764950401825552847,0,26.106765
12,1764950401836063333,0,25.061639
13,1764950401845968719,0,37.641726
14,1764950401856035905,0,42.231708
15,1764950401865921192,0,32.389695
16,1764950401876109178,0,22.208177
17,1764950401885858964,0,28.937963
18,1764950401896107949,0,24.653027
19,1764950401906097235,0,29.932977
20,1764950401915740221,0,30.468492
21,1764950401925779007,0,31.221533
22,1764950401935333493,0,31.948173
23,1764950401945805078,0,21.518261
24,1764950401956208163,0,22.061857
25,1764950401965696050,0,23.233999
26,1764950401975810635,0,23.88037
27,1764950401986160320,0,23.967347
28,1764950401995703906,0,25.296879
29,1764950402005868092,0,25.888206
30,1764950402015803178,0,37.316887
31,1764950402025464364,0,39.251155
32,1764950402035323150,0,33.427497
33,1764950402045703335,0,23.093394
34,1764950402055828920,0,23.44141
35,1764950402065884606,0,40.114268
36,1764950402075662692,0,30.304288
37,1764950402085675877,0,30.899545
38,1764950402095385463,0,21.221108
39,1764950402105530149,0,34.00195
40,1764950402115638934,0,23.931907
41,1764950402125699920,0,33.630726
42,1764950402135620606,0,34.993318
43,1764950402145761291,0,35.266338
44,1764950402156039876,0,35.680539
45,1764950402165824562,0,47.158681
46,1764950402176021047,0,36.920062
47,1764950402185774833,0,27.216081
48,1764950402195579619,0,27.630091
49,1764950402205806705,0,22.490005
50,1764950402215350491,0,23.562507
51,1764950402225448676,0,24.093444
52,1764950402235607862,0,30.221378
53,1764950402245620848,0,30.66638
54,1764950402255531833,0,31.272395
55,1764950402265523019,0,31.914686
56,1764950402275565105,0,27.415848
57,1764950402285490990,0,22.586445
58,1764950402295611776,0,28.174783
59,1764950402305557861,0,29.887535
60,1764950402315593247,0,24.459837
61,1764950402325614233,0,19.715346
