seqno,timestamp,lost,rtt
0,1764966084124172553,0,21.606929
1,1764966084133845341,0,19.982841
2,1764966084144120927,0,17.487616
3,1764966084153893214,0,19.661768
4,1764966084163831001,0,25.892496
5,1764966084173904787,0,23.749267
6,1764966084183855974,0,22.507481
7,1764966084193923261,0,20.121056
8,1764966084204222347,0,18.038712
9,1764966084213885534,0,19.346732
10,1764966084223773921,0,26.857408
11,1764966084233896408,0,24.037827
12,1764966084243993094,0,22.261798
13,1764966084254254681,0,27.62122
14,1764966084263996468,0,17.903993
15,1764966084273886555,0,24.741201
16,1764966084284073241,0,22.360939
17,1764966084294328328,0,20.373705
18,1764966084304130415,0,22.755555
19,1764966084314089601,0,20.82318
20,1764966084324274688,0,18.212017
21,1764966084333673375,0,17.712141
22,1764966084344179761,0,22.307856
23,1764966084354213048,0,28.682274
24,1764966084363533336,0,19.393374
25,1764966084374269622,0,19.767252
26,1764966084383973309,0,19.438429
27,1764966084394019495,0,24.080729
28,1764966084403566883,0,22.421253
29,1764966084414016669,0,20.398314
30,1764966084423520956,0,17.971798
31,1764966084433534343,0,16.137153
32,1764966084444083129,0,21.237855
33,1764966084454025816,0,23.383588
34,1764966084463956002,0,21.64497
35,1764966084473753789,0,15.548049
36,1764966084483807076,0,18.212143
37,1764966084493875763,0,16.075978
38,1764966084503547750,0,21.890417
39,1764966084513591637,0,19.733644
40,1764966084524261422,0,17.063731
41,1764966084533595110,0,15.395751
42,1764966084543643697,0,17.638365
43,1764966084553737783,0,15.468031
44,1764966084563536970,0,21.533852
45,1764966084573668057,0,19.340285
46,1764966084583716044,0,18.103481
47,1764966084593681030,0,23.346033
48,1764966084603691817,0,17.389145
49,1764966084613764104,0,15.203019
50,1764966084623739990,0,21.432268
51,1764966084633725077,0,20.016997
52,1764966084643647864,0,17.81401
53,1764966084653794751,0,23.391326
54,1764966084663649737,0,22.10169
55,1764966084673788324,0,19.589167
56,1764966084683682811,0,21.87282
57,1764966084693733898,0,19.505231
58,1764966084703697684,0,17.316522
59,1764966084713771871,0,16.373209
60,1764966084723832358,0,22.141668
61,1764966084733616545,0,20.56967
62,1764966084744168931,0,17.499469
63,1764966084754052117,0,16.124287
64,1764966084764132104,0,17.601278
65,1764966084773890391,0,16.112848
66,1764966084784011678,0,21.476664
67,1764966084793718065,0,19.904845
68,1764966084803648752,0,17.340934
69,1764966084813697738,0,15.306777
70,1764966084823800225,0,21.555902
71,1764966084833756612,0,23.366164
72,1764966084843775098,0,21.659995
73,1764966084853551385,0,19.774862
74,1764966084863933572,0,17.402876
75,1764966084873687559,0,23.950581
76,1764966084883638745,0,21.723108
77,1764966084893970332,0,19.676359
78,1764966084904184318,0,17.214344
79,1764966084913747606,0,19.718281
80,1764966084923793192,0,25.668582
81,1764966084933570779,0,15.911715
82,1764966084944018565,0,21.50726
83,1764966084954250252,0,36.819144
84,1764966084964012839,0,27.099822
85,1764966084974072525,0,23.852039
86,1764966084983617813,0,18.771475
87,1764966084993849999,0,24.960039
88,1764966085004088186,0,21.764088
89,1764966085013782173,0,20.184564
90,1764966085024072659,0,17.748462
91,1764966085034188546,0,17.038476
92,1764966085044234832,0,21.701601
93,1764966085053725620,0,20.116676
94,1764966085064343306,0,21.305768
95,1764966085073692893,0,19.837942
96,1764966085084171779,0,18.321381
97,1764966085093689367,0,15.883915
98,1764966085104120053,0,21.376028
99,1764966085114033940,0,19.834886
100,1764966085124153026,0,26.956149
101,1764966085134047013,0,17.10403
102,1764966085144132600,0,17.289107
103,1764966085153788387,0,17.346241
104,1764966085163727074,0,21.910009
105,1764966085173590061,0,20.295665
106,1764966085184264746,0,18.195198
107,1764966085194066433,0,24.254403
108,1764966085204081720,0,21.847769
109,1764966085213427308,0,17.701655
110,1764966085224110194,0,21.343094
111,1764966085233644281,0,28.316356
112,1764966085244129067,0,25.671695
113,1764966085254022954,0,23.916349
114,1764966085263504641,0,21.91571
115,1764966085273956627,0,27.435877
116,1764966085283571615,0,21.695811
117,1764966085294091401,0,19.15357
118,1764966085303985188,0,17.414745
119,1764966085313511075,0,17.26335
120,1764966085323587862,0,21.654023
121,1764966085333910048,0,19.384793
122,1764966085343472835,0,17.789515
123,1764966085353616322,0,15.627244
124,1764966085363583908,0,17.379621
125,1764966085373699195,0,15.530542
126,1764966085383661582,0,17.407974
127,1764966085393666569,0,19.317249
128,1764966085403659255,0,17.327025
129,1764966085413667142,0,15.340972
130,1764966085423703029,0,21.468393
131,1764966085433702415,0,19.712012
132,1764966085443783402,0,21.36587
133,1764966085453649789,0,19.302785
134,1764966085463726776,0,21.57086
135,1764966085473699362,0,16.067528
136,1764966085483996149,0,21.550382
137,1764966085493933835,0,19.257564
138,1764966085503749322,0,17.798846
139,1764966085513682609,0,16.891549
140,1764966085523951496,0,17.219582
141,1764966085534023982,0,17.070494
142,1764966085543646070,0,21.934489
143,1764966085553650356,0,19.592978
144,1764966085563973143,0,17.139066
145,1764966085573706530,0,24.185015
146,1764966085583819716,0,21.649218
147,1764966085593775103,0,15.798941
148,1764966085604051689,0,21.62551
149,1764966085613816376,0,19.704266
150,1764966085623968363,0,17.323873
151,1764966085633619750,0,16.538102
152,1764966085643566437,0,22.305704
153,1764966085653737123,0,19.741775
154,1764966085663954310,0,18.383046
155,1764966085673615897,0,20.187761
156,1764966085683801883,0,18.520501
157,1764966085693963170,0,17.286512
158,1764966085704141957,0,21.668464
159,1764966085714012543,0,19.570896
