seqno,timestamp,lost,rtt
0,1764920891816606614,0,23.704718
1,1764920891826742300,0,21.939863
2,1764920891836876687,0,19.85178
3,1764920891847003674,0,18.687309
4,1764920891856883361,0,24.531673
5,1764920891867182748,0,21.711508
6,1764920891876831135,0,23.903666
7,1764920891887206622,0,21.383894
8,1764920891896578910,0,20.270418
9,1764920891906989696,0,17.938582
10,1764920891916960183,0,24.530253
11,1764920891927067970,0,22.083171
12,1764920891936753558,0,27.90483
13,1764920891947240844,0,21.670807
14,1764920891956609832,0,20.598514
15,1764920891966908818,0,66.691364
16,1764920891976725906,0,78.53661
17,1764920891986938692,0,68.371268
18,1764920891996863879,0,58.436046
19,1764920892006809967,0,48.495731
20,1764920892016867153,0,38.448267
21,1764920892026342241,1,
22,1764920892036894927,1,
23,1764920892046833815,0,18.919838
24,1764920892056684902,0,29.154507
25,1764920892066730689,0,19.1464
26,1764920892076862776,0,31.470095
27,1764920892086718363,0,21.579417
28,1764920892097120649,0,19.090493
29,1764920892106808637,0,21.397134
30,1764920892116359924,0,19.646294
31,1764920892126607111,0,21.392648
32,1764920892136504798,0,19.097762
33,1764920892146527885,0,17.041675
34,1764920892156473972,0,22.996661
35,1764920892166503659,0,20.875634
36,1764920892176494546,0,19.0542
37,1764920892186506533,0,17.030465
38,1764920892196474920,0,22.98515
39,1764920892206531007,0,16.963938
40,1764920892216528794,0,22.975545
41,1764920892226560481,0,20.815644
42,1764920892236570968,0,18.922216
43,1764920892246648155,0,24.88702
44,1764920892256648742,0,22.776321
45,1764920892266593029,0,29.839217
46,1764920892276548916,0,27.475839
47,1764920892286550103,0,21.274091
48,1764920892296491190,0,19.025943
49,1764920892306501777,0,18.434167
50,1764920892316857064,0,24.048998
51,1764920892326926851,0,20.441428
52,1764920892336439138,0,27.093135
53,1764920892346721625,0,24.706323
54,1764920892356659412,0,23.07522
55,1764920892366611299,0,17.907446
56,1764920892376837886,0,23.646721
57,1764920892386810673,0,29.702561
58,1764920892396485960,0,28.082651
59,1764920892406849447,0,25.739332
60,1764920892416454034,0,23.374164
61,1764920892426606521,0,21.085455
62,1764920892436834008,0,23.021435
63,1764920892446647495,0,21.356194
64,1764920892456595982,0,19.214708
65,1764920892466495569,0,25.256027
66,1764920892476955556,0,24.293977
67,1764920892487147843,0,20.600314
68,1764920892496450230,0,27.657686
69,1764920892507060217,0,25.33301
70,1764920892516453104,0,20.159342
71,1764920892526877591,0,17.65571
72,1764920892536782278,0,31.39438
73,1764920892546976865,0,29.515171
74,1764920892556966352,0,35.195503
75,1764920892566430840,0,34.139354
76,1764920892576654426,0,23.951242
77,1764920892587011413,0,21.123119
78,1764920892596666700,0,23.41159
79,1764920892607389686,0,20.86308
80,1764920892616842674,0,28.495037
81,1764920892627072961,0,25.144632
82,1764920892637013748,0,24.418308
83,1764920892646812935,0,21.347965
84,1764920892656969722,0,27.213095
85,1764920892667099709,0,29.96852
86,1764920892676776596,0,20.331082
87,1764920892686612983,0,18.076082
88,1764920892696270371,0,24.950291
89,1764920892706650957,0,21.362901
90,1764920892716778744,0,28.157707
91,1764920892726837531,0,34.636846
92,1764920892736745518,0,24.772248
93,1764920892746631505,0,17.496453
94,1764920892757086592,0,23.089145
95,1764920892767026279,0,29.170686
96,1764920892776638966,0,27.867113
97,1764920892786740053,0,25.414082
98,1764920892796384141,0,24.728251
99,1764920892806745627,0,21.386496
