since,relative_seconds,rtt
0.000,0.000,18.46
0.007,0.007,19.27
0.017,0.017,21.95
0.026,0.026,20.14
0.036,0.036,19.55
0.047,0.047,19.82
0.057,0.057,17.90
0.067,0.067,19.91
0.077,0.077,18.06
0.087,0.087,19.92
0.097,0.097,17.96
0.107,0.107,23.66
0.117,0.117,17.13
0.127,0.127,19.31
0.137,0.137,17.41
0.147,0.147,19.48
0.157,0.157,17.62
0.167,0.167,19.66
0.176,0.176,21.21
0.187,0.187,19.29
0.197,0.197,17.52
0.207,0.207,19.33
0.217,0.217,17.42
0.227,0.227,19.29
0.236,0.236,17.79
0.247,0.247,19.58
0.257,0.257,17.64
0.267,0.267,23.50
0.277,0.277,21.60
0.287,0.287,19.66
0.297,0.297,17.70
0.307,0.307,23.55
0.317,0.317,21.33
0.327,0.327,20.23
0.337,0.337,17.89
0.347,0.347,19.39
0.357,0.357,18.04
0.367,0.367,23.37
0.377,0.377,21.13
0.387,0.387,19.52
0.397,0.397,17.45
0.407,0.407,19.69
0.417,0.417,17.57
0.427,0.427,19.35
0.437,0.437,21.42
0.447,0.447,19.74
0.457,0.457,25.57
0.466,0.466,23.86
0.477,0.477,17.18
0.487,0.487,20.00
0.497,0.497,21.13
0.507,0.507,19.71
0.517,0.517,18.39
0.527,0.527,25.43
0.537,0.537,21.48
0.547,0.547,20.71
0.557,0.557,18.64
0.567,0.567,24.25
0.577,0.577,18.07
0.587,0.587,19.74
0.597,0.597,18.95
0.607,0.607,20.22
0.617,0.617,18.09
0.627,0.627,20.00
0.637,0.637,17.81
0.647,0.647,23.59
0.657,0.657,20.87
0.667,0.667,19.76
0.676,0.676,18.61
0.687,0.687,24.42
0.697,0.697,21.82
0.707,0.707,19.86
0.717,0.717,18.27
0.727,0.727,19.71
0.737,0.737,17.69
0.747,0.747,19.48
0.757,0.757,18.79
0.767,0.767,20.00
0.777,0.777,18.54
0.787,0.787,26.22
0.797,0.797,28.92
0.807,0.807,18.95
0.817,0.817,17.92
0.827,0.827,19.50
0.837,0.837,18.30
0.846,0.846,20.06
0.857,0.857,18.09
0.866,0.866,19.63
0.877,0.877,21.27
0.887,0.887,19.68
0.897,0.897,17.71
0.907,0.907,23.66
0.917,0.917,20.94
0.927,0.927,23.13
0.937,0.937,17.15
0.947,0.947,18.99
0.957,0.957,17.33
0.967,0.967,23.32
0.977,0.977,20.99
0.987,0.987,19.21
0.997,0.997,17.03
1.007,1.007,23.23
1.017,1.017,20.97
1.027,1.027,23.05
1.037,1.037,16.87
1.047,1.047,19.59
1.057,1.057,17.44
1.067,1.067,23.84
1.076,1.076,21.04
1.087,1.087,18.80
1.097,1.097,16.95
1.107,1.107,19.08
1.117,1.117,17.20
1.127,1.127,19.50
1.137,1.137,17.40
1.146,1.146,19.49
1.157,1.157,17.72
1.167,1.167,18.76
1.177,1.177,18.20
1.187,1.187,19.51
1.197,1.197,21.12
1.207,1.207,19.91
1.217,1.217,17.64
1.227,1.227,19.55
1.237,1.237,17.95
1.247,1.247,19.48
1.256,1.256,18.00
1.266,1.266,19.73
1.277,1.277,16.99
1.287,1.287,23.41
1.297,1.297,21.31
1.307,1.307,19.59
1.317,1.317,17.35
1.327,1.327,19.70
1.337,1.337,18.90
1.347,1.347,24.18
1.357,1.357,17.91
1.367,1.367,19.70
1.377,1.377,17.38
1.386,1.386,24.76
1.397,1.397,21.05
1.407,1.407,19.94
1.417,1.417,18.21
1.427,1.427,20.31
1.437,1.437,18.31
1.447,1.447,24.42
1.457,1.457,22.43
1.467,1.467,20.71
1.477,1.477,22.14
1.487,1.487,20.75
1.497,1.497,18.69
1.507,1.507,25.89
1.517,1.517,22.49
1.527,1.527,20.26
1.537,1.537,18.28
1.547,1.547,29.28
1.557,1.557,19.68
1.566,1.566,26.41
1.577,1.577,22.70
1.597,1.597,18.73
1.607,1.607,23.93
1.617,1.617,21.69
1.627,1.627,24.04
1.637,1.637,21.90
1.647,1.647,20.06
1.657,1.657,18.14
1.667,1.667,24.07
1.677,1.677,21.24
1.687,1.687,19.67
1.697,1.697,17.78
1.706,1.706,20.12
1.717,1.717,18.03
1.727,1.727,15.72
1.737,1.737,22.53
1.746,1.746,20.63
1.757,1.757,17.84
1.767,1.767,23.49
1.777,1.777,19.23
1.787,1.787,24.34
1.797,1.797,21.68
1.807,1.807,20.10
1.817,1.817,17.99
1.827,1.827,23.96
1.837,1.837,22.80
1.847,1.847,19.77
1.857,1.857,22.63
1.867,1.867,20.20
1.877,1.877,18.68
1.887,1.887,24.58
1.897,1.897,22.11
1.907,1.907,20.10
1.917,1.917,18.11
1.927,1.927,20.44
1.937,1.937,18.63
1.947,1.947,25.24
1.957,1.957,22.19
1.967,1.967,20.33
1.977,1.977,18.99
1.987,1.987,25.93
1.997,1.997,22.34
2.007,2.007,20.01
2.017,2.017,18.49
2.027,2.027,20.04
2.037,2.037,26.34
2.047,2.047,25.81
2.057,2.057,22.25
2.067,2.067,20.26
2.076,2.076,18.62
2.087,2.087,28.20
2.096,2.096,18.52
2.107,2.107,23.98
2.117,2.117,21.87
2.127,2.127,19.95
2.137,2.137,17.68
2.147,2.147,23.83
2.157,2.157,18.00
2.167,2.167,24.04
2.177,2.177,21.79
2.187,2.187,19.74
2.197,2.197,17.81
2.207,2.207,24.05
2.217,2.217,21.28
2.227,2.227,23.88
2.237,2.237,21.79
2.247,2.247,19.91
2.257,2.257,25.43
2.267,2.267,23.99
2.277,2.277,21.76
2.287,2.287,19.54
2.297,2.297,17.86
2.307,2.307,19.50
2.317,2.317,24.89
2.327,2.327,22.95
2.337,2.337,20.80
2.347,2.347,19.23
2.357,2.357,17.38
2.367,2.367,23.32
2.377,2.377,16.98
2.387,2.387,18.76
2.397,2.397,16.96
2.407,2.407,18.73
2.417,2.417,16.88
2.427,2.427,23.09
2.437,2.437,21.00
2.447,2.447,19.35
2.457,2.457,17.11
2.467,2.467,18.79
2.477,2.477,17.49
2.487,2.487,19.18
2.497,2.497,17.50
2.507,2.507,19.04
2.517,2.517,17.27
2.527,2.527,19.64
2.537,2.537,17.09
2.547,2.547,19.56
2.557,2.557,17.60
2.567,2.567,19.03
2.577,2.577,17.64
2.587,2.587,23.70
2.597,2.597,20.90
2.607,2.607,19.50
2.617,2.617,16.93
2.627,2.627,19.69
2.637,2.637,18.26
2.647,2.647,24.97
2.657,2.657,21.24
2.667,2.667,19.69
2.677,2.677,17.77
2.687,2.687,23.61
2.697,2.697,17.30
2.707,2.707,21.17
2.717,2.717,22.08
2.727,2.727,19.63
2.737,2.737,18.72
2.747,2.747,23.69
2.757,2.757,21.09
2.767,2.767,20.48
2.777,2.777,16.98
2.787,2.787,19.48
2.797,2.797,17.94
2.807,2.807,24.86
2.817,2.817,21.49
2.827,2.827,40.30
2.837,2.837,29.49
2.847,2.847,19.84
2.857,2.857,18.17
2.867,2.867,24.78
2.876,2.876,21.31
2.886,2.886,27.57
2.897,2.897,17.13
2.907,2.907,23.27
2.917,2.917,25.61
2.927,2.927,19.57
2.936,2.936,21.30
2.947,2.947,19.47
2.957,2.957,17.15
2.967,2.967,23.26
2.977,2.977,21.15
2.987,2.987,31.65
2.997,2.997,21.44
3.007,3.007,19.26
3.017,3.017,17.61
3.027,3.027,23.00
3.037,3.037,29.04
3.047,3.047,26.85
3.057,3.057,25.19
3.067,3.067,27.13
3.077,3.077,25.42
3.087,3.087,22.90
3.097,3.097,29.06
3.107,3.107,19.13
3.117,3.117,17.37
3.127,3.127,23.33
3.137,3.137,20.88
3.147,3.147,19.38
3.157,3.157,16.78
3.167,3.167,19.34
3.177,3.177,17.32
3.187,3.187,19.88
3.197,3.197,20.82
3.207,3.207,19.05
3.217,3.217,16.94
3.227,3.227,19.61
3.237,3.237,17.75
3.247,3.247,23.76
3.257,3.257,21.19
3.267,3.267,19.77
