seqno,timestamp,lost,rtt
0,1764949197354561841,0,21.163466
1,1764949197364375828,0,39.594857
2,1764949197374366315,0,29.661395
3,1764949197384391502,0,27.680212
4,1764949197394148389,0,26.540746
5,1764949197403859277,0,31.459345
6,1764949197414307263,0,21.033614
7,1764949197424441650,0,28.057138
8,1764949197433872138,0,25.335936
9,1764949197443944825,0,28.118379
10,1764949197454237111,0,26.046892
11,1764949197464053799,0,23.764059
12,1764949197473804686,0,25.502138
13,1764949197483807373,0,27.282337
14,1764949197503615047,0,23.522897
15,1764949197513897634,0,25.339693
16,1764949197523931921,0,23.34284
17,1764949197533828608,0,24.742035
18,1764949197543922095,0,26.76086
19,1764949197553897382,0,25.185751
20,1764949197563804469,0,22.844262
21,1764949197573861056,0,20.764966
22,1764949197583978243,0,22.020496
23,1764949197593869930,0,20.092193
24,1764949197603868317,0,23.391489
25,1764949197613920104,0,20.30711
26,1764949197624020891,0,22.502431
27,1764949197634132178,0,19.858974
28,1764949197643926565,0,27.502805
29,1764949197653936952,0,24.753107
30,1764949197664074239,0,22.512799
31,1764949197674000826,0,20.133108
32,1764949197684186913,0,21.658116
33,1764949197693865300,0,19.794169
34,1764949197704016187,0,22.300504
35,1764949197713926474,0,20.219269
36,1764949197724011561,0,26.622461
37,1764949197733789949,0,24.121572
38,1764949197744078535,0,34.564022
39,1764949197754085322,0,24.585789
40,1764949197764308509,0,34.340681
41,1764949197773806097,0,24.880415
42,1764949197784208483,0,22.067099
43,1764949197793826771,0,28.535783
44,1764949197804234357,0,22.825592
45,1764949197813976745,0,24.250803
46,1764949197823857032,0,26.985275
47,1764949197834344318,0,24.469101
48,1764949197844057306,0,26.202383
49,1764949197854474892,0,25.327438
50,1764949197864393679,0,22.167423
51,1764949197873969667,0,28.615886
52,1764949197884366753,0,26.332989
53,1764949197894086741,0,20.391884
54,1764949197904289227,0,25.623659
55,1764949197914442114,0,19.449176
56,1764949197924079602,0,22.02013
57,1764949197933925289,0,19.745461
58,1764949197943958276,0,26.087127
59,1764949197953725363,0,24.444409
60,1764949197963978050,0,34.417134
61,1764949197973930937,0,24.493698
62,1764949197983955924,0,22.411464
63,1764949197993750311,0,20.477791
64,1764949198004043498,0,22.449584
65,1764949198013915085,0,24.252189
66,1764949198024051272,0,21.983635
67,1764949198034005859,0,28.162027
68,1764949198044353346,0,21.682488
69,1764949198054149333,0,20.094617
70,1764949198064161620,0,21.992454
71,1764949198074334907,0,23.806101
72,1764949198084302994,0,22.281131
73,1764949198094110881,0,24.186649
74,1764949198104100968,0,22.2898
75,1764949198114120655,0,20.174284
76,1764949198124049042,0,35.124731
77,1764949198133831430,0,25.366919
78,1764949198143737717,0,27.705202
79,1764949198153714804,0,21.536649
80,1764949198163962390,0,23.728729
81,1764949198173803978,0,38.83143
82,1764949198184081264,0,28.591296
83,1764949198194471251,0,25.201107
84,1764949198204343638,0,23.067414
85,1764949198214262025,0,24.940578
86,1764949198224402112,0,26.282132
87,1764949198233785300,0,28.837255
88,1764949198243996987,0,34.248377
89,1764949198253969474,0,24.284865
90,1764949198263802861,0,30.081014
91,1764949198273883848,0,20.011936
92,1764949198283927535,0,29.872894
93,1764949198293934522,0,19.876237
94,1764949198303929109,0,26.060774
95,1764949198313854296,0,20.308311
96,1764949198323948483,0,26.963164
97,1764949198333888270,0,28.558375
98,1764949198343950957,0,29.583334
99,1764949198354275544,0,23.297629
100,1764949198363950431,0,25.905642
101,1764949198373831218,0,24.056001
102,1764949198384104005,0,29.679543
103,1764949198394203792,0,19.591367
104,1764949198403951279,0,27.313189
105,1764949198413853066,0,25.030657
106,1764949198423954853,0,22.419001
107,1764949198433747240,0,20.144306
108,1764949198444350727,0,21.497746
109,1764949198453748914,0,23.952017
110,1764949198464087901,0,21.576076
111,1764949198473976188,0,23.915233
112,1764949198483928575,0,30.001332
113,1764949198493846262,0,20.117511
114,1764949198504249249,0,26.325126
115,1764949198513971236,0,20.50557
116,1764949198524155123,0,22.327272
117,1764949198534107010,0,19.962352
118,1764949198543744298,0,22.148506
119,1764949198554046884,0,19.760208
120,1764949198563918971,0,22.064808
121,1764949198573870959,0,19.984132
122,1764949198584261245,0,22.125567
123,1764949198593943733,0,20.530919
124,1764949198604013719,0,24.080177
125,1764949198613976107,0,20.503528
126,1764949198623814694,0,22.935214
127,1764949198634298480,0,24.016953
128,1764949198644602667,0,22.268697
129,1764949198654365954,0,19.931193
130,1764949198664059442,0,21.974016
131,1764949198674398828,0,19.301603
132,1764949198684131315,0,21.740002
133,1764949198693816203,0,25.185911
134,1764949198703991590,0,22.111837
135,1764949198714120277,0,20.538462
136,1764949198724210863,0,22.059506
137,1764949198733677751,0,20.750042
138,1764949198744220838,0,22.097503
139,1764949198753950825,0,20.044827
140,1764949198764242712,0,22.089784
141,1764949198773776799,0,21.201183
142,1764949198784083586,0,22.428819
143,1764949198794324072,0,20.404885
144,1764949198804385559,0,27.35214
