timestamp_utc,rel_start_sec,rel_end_sec,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent
1764013200,0.0,0.100206,0.10020600259304047,477312.0,38106459.704892,,,,
1764013200.100206,0.100206,0.200108,0.0999019965529442,1495296.0,119741030.33727068,,,,
1764013200.200108,0.200108,0.300428,0.1003199964761734,1783936.0,142259654.11980018,,,,
1764013200.300428,0.300428,0.400124,0.09969600290060043,1669888.0,133998391.22255866,,,,
1764013200.400124,0.400124,0.500084,0.09995999932289124,2116224.0,169365667.41375527,,,,
1764013200.500084,0.500084,0.600176,0.10009200125932693,1740288.0,139095070.78321776,,,,
1764013200.600176,0.600176,0.700084,0.0999080017209053,3062400.0,245217595.96832824,,,,
1764013200.700084,0.700084,0.800041,0.09995699673891068,2425984.0,194162216.08471972,,,,
1764013200.800041,0.800041,0.900101,0.10006000101566315,1637504.0,130921765.61090933,,,,
1764013200.900101,0.900101,1.000146,0.10004500299692154,2986368.0,238801971.9559121,,,,
1764013201.000146,1.000146,1.100095,0.09994900226593018,2986368.0,239031340.5674061,,,,
1764013201.100095,1.100095,1.200416,0.100321002304554,2142976.0,170889520.70031074,,,,
1764013201.200416,1.200416,1.300106,0.0996899977326393,1620608.0,130051803.53971659,,,,
1764013201.300106,1.300106,1.400082,0.09997600317001343,3006080.0,240544122.96423042,,,,
1764013201.400082,1.400082,1.500189,0.10010699927806854,1836032.0,146725564.70502365,,,,
1764013201.500189,1.500189,1.600254,0.10006500035524368,1351680.0,108064157.91346516,,,,
1764013201.600254,1.600254,1.700219,0.09996499866247177,1001088.0,80115081.35003434,,,,
1764013201.700219,1.700219,1.80011,0.09989099949598312,1882496.0,150764013.5346288,,,,
1764013201.80011,1.80011,1.900286,0.10017599910497665,1334784.0,106595113.55419576,,,,
1764013201.900286,1.900286,2.000141,0.0998549982905388,522368.0,41850123.3943334,,,,
1764013202.000141,2.000141,2.100223,0.10008200258016586,871552.0,69667031.2368608,,,,
1764013202.100223,2.100223,2.200393,0.10017000138759613,1667072.0,133139421.13663027,,,,
1764013202.200393,2.200393,2.300398,0.10000500082969666,2099328.0,167937841.71453962,,,,
1764013202.300398,2.300398,2.400384,0.0999860018491745,1727616.0,138228629.4520347,,,,
1764013202.400384,2.400384,2.500405,0.10002099722623825,2092288.0,167347901.58249974,,,,
1764013202.500405,2.500405,2.600451,0.10004600137472153,2427392.0,194102070.3792626,,,,
1764013202.600451,2.600451,2.700158,0.0997069999575615,2100736.0,168552739.598555,,,,
1764013202.700158,2.700158,2.800512,0.10035400092601776,1943040.0,154894870.72328556,,,,
1764013202.800512,2.800512,2.900278,0.09976600110530853,1455872.0,116742937.18263772,,,,
1764013202.900278,2.900278,3.00024,0.0999620035290718,1368576.0,109527696.65941952,,,,
1764013203.00024,3.00024,3.100178,0.0999379977583885,1150336.0,92083974.12812437,,,,
1764013203.100178,3.100178,3.200186,0.10000800341367722,1315072.0,105197340.62165262,,,,
1764013203.200186,3.200186,3.300081,0.09989500045776367,1437568.0,115126322.11121029,,,,
1764013203.300081,3.300081,3.400298,0.10021699965000153,1222144.0,97559815.5417323,,,,
1764013203.400298,3.400298,3.500376,0.10007800161838531,1460096.0,116716639.13255166,,,,
1764013203.500376,3.500376,3.600254,0.0998779982328415,1606528.0,128679230.93570754,,,,
1764013203.600254,3.600254,3.700401,0.10014700144529343,1358720.0,108538047.50147957,,,,
1764013203.700401,3.700401,3.800282,0.09988100081682205,1172864.0,93940908.91427793,,,,
1764013203.800282,3.800282,3.900359,0.10007700324058533,1520640.0,121557596.71135461,,,,
1764013203.900359,3.900359,4.000421,0.10006199777126312,1419264.0,113470770.6511612,,,,
1764013204.000421,4.000421,4.100311,0.09989000111818314,1208064.0,96751545.6183207,,,,
1764013204.100311,4.100311,4.200228,0.0999170020222664,1333376.0,106758687.55172287,,,,
1764013204.200228,4.200228,4.300427,0.10019899904727936,1146112.0,91506862.21599494,,,,
1764013204.300427,4.300427,4.400523,0.10009600222110748,1358720.0,108593347.97397,,,,
1764013204.400523,4.400523,4.50048,0.09995699673891068,1303808.0,104349513.6938192,,,,
1764013204.50048,4.50048,4.600645,0.1001650020480156,1067264.0,85240471.4763259,,,,
1764013204.600645,4.600645,4.701161,0.10051599889993668,1085568.0,86399618.91683963,,,,
1764013204.701161,4.701161,4.800499,0.09933800250291824,1078528.0,86857232.70655185,,,,
1764013204.800499,4.800499,4.900618,0.10011900216341019,1234816.0,98667863.1083105,,,,
1764013204.900618,4.900618,5.00042,0.09980200231075287,1132032.0,90742227.5136484,,,,
1764013205.00042,5.00042,5.100395,0.09997499734163284,661760.0,52954039.91769223,,,,
1764013205.100395,5.100395,5.200185,0.09978999942541122,871552.0,69870889.26893505,,,,
1764013205.200185,5.200185,5.300476,0.10029099881649017,888448.0,70869610.2728548,,,,
1764013205.300476,5.300476,5.400184,0.0997079983353615,699776.0,56146027.33444498,,,,
1764013205.400184,5.400184,5.500409,0.10022500157356262,584320.0,46640657.7860614,,,,
1764013205.500409,5.500409,5.60052,0.10011100023984909,502656.0,40167893.54182625,,,,
1764013205.60052,5.60052,5.700555,0.10003499686717987,629376.0,50332465.2140007,,,,
1764013205.700555,5.700555,5.800231,0.0996759980916977,554752.0,44524419.9703645,,,,
1764013205.800231,5.800231,5.900323,0.10009200125932693,682880.0,54580185.54195842,,,,
1764013205.900323,5.900323,6.000658,0.1003350019454956,547712.0,43670662.431244515,,,,
1764013206.000658,6.000658,6.100367,0.09970899671316147,498432.0,39990934.9350986,,,,
1764013206.100367,6.100367,6.200509,0.10014200210571289,573056.0,45779472.18551233,,,,
