seqno,timestamp,lost,rtt
199,1764014402487332036,0,24928392
200,1764014402497677737,0,25451037
201,1764014402507960038,0,22985852
202,1764014402518049640,0,22552475
203,1764014402527754341,0,27274055
204,1764014402537522842,0,26511597
205,1764014402547486843,0,25127373
206,1764014402557558344,0,25660069
207,1764014402567880746,0,19911193
208,1764014402577205147,0,21706223
209,1764014402587863848,0,24369512
210,1764014402597475249,0,25578284
211,1764014402617007152,0,22912685
212,1764014402627569853,0,23222599
213,1764014402637246654,0,25177080
214,1764014402647229855,0,24220164
215,1764014402657518456,0,21967702
216,1764014402667402958,0,27241315
217,1764014402677318059,0,26013083
218,1764014402687326260,0,24226514
219,1764014402697361461,0,21447259
220,1764014402707540662,0,23065652
221,1764014402717466164,0,21869640
222,1764014402727491965,0,24450549
223,1764014402737517766,0,21229213
224,1764014402747967867,0,23099176
225,1764014402757539668,0,22305153
226,1764014402767528470,0,24655586
227,1764014402777473771,0,26035514
228,1764014402787447872,0,23544065
229,1764014402797664273,0,22307972
230,1764014402807538774,0,23298096
231,1764014402817474176,0,27105461
232,1764014402827951777,0,24259791
233,1764014402837567978,0,22331128
234,1764014402847601279,0,23533956
235,1764014402857741080,0,22207674
236,1764014402867534782,0,23821401
237,1764014402877472583,0,26100423
238,1764014402887910084,0,22904799
239,1764014402897710585,0,25966307
240,1764014402907629286,0,22972165
241,1764014402917664988,0,21366210
242,1764014402927659989,0,23779579
243,1764014402937539090,0,21339523
244,1764014402947314491,0,27340474
245,1764014402957490892,0,21053533
246,1764014402967465194,0,23598758
247,1764014402977506395,0,20720874
248,1764014402987494396,0,24116143
249,1764014402997426697,0,22026763
250,1764014403007393598,0,22969173
251,1764014403017579000,0,20986895
252,1764014403027548101,0,23998046
253,1764014403037594402,0,22377721
254,1764014403047844603,0,22877218
255,1764014403057633904,0,21088358
256,1764014403067658106,0,25103312
257,1764014403077786707,0,25350606
258,1764014403087907608,0,28230273
259,1764014403097611409,0,22758400
260,1764014403107562710,0,23090411
261,1764014403117673412,0,25416377
262,1764014403127660313,0,29602242
263,1764014403137741314,0,22265826
264,1764014403147607015,0,23311647
265,1764014403157403016,0,26714171
266,1764014403167347618,0,25320806
267,1764014403177498319,0,23954030
268,1764014403188194520,0,23058067
269,1764014403197549621,0,25303289
270,1764014403207811923,0,28491200
271,1764014403217530724,0,23157651
272,1764014403227346825,0,24400474
273,1764014403237560526,0,25031969
274,1764014403247594427,0,25451676
275,1764014403257542128,0,21812763
276,1764014403267757430,0,27394597
277,1764014403277325931,0,21722042
278,1764014403287901332,0,24813680
279,1764014403297666933,0,25634967
280,1764014403308052635,0,23120427
281,1764014403317777236,0,21105076
282,1764014403327954437,0,23369305
283,1764014403337565138,0,25223450
284,1764014403347348939,0,24371309
285,1764014403357353140,0,21673165
286,1764014403367339042,0,23162468
287,1764014403377384243,0,21209475
288,1764014403387420244,0,24150394
289,1764014403397438345,0,20801746
290,1764014403407494446,0,24282085
291,1764014403417445848,0,21495446
292,1764014403427391649,0,23520021
293,1764014403437458950,0,20868227
294,1764014403447411551,0,24267866
295,1764014403457452852,0,22146143
296,1764014403467503654,0,22833841
297,1764014403477552455,0,21022745
298,1764014403487536756,0,24058716
299,1764014403497520157,0,21628058
300,1764014403507507158,0,23178070
301,1764014403517591360,0,20881142
302,1764014403527372161,0,24236315
303,1764014403537599062,0,20971472
304,1764014403547531963,0,24039362
305,1764014403557545365,0,21383128
306,1764014403567579666,0,22647958
307,1764014403577532767,0,24969164
308,1764014403587472668,0,23543012
309,1764014403597376269,0,25186520
310,1764014403607490171,0,24045149
311,1764014403617555172,0,21999684
312,1764014403627853373,0,22575243
313,1764014403637751174,0,21501314
314,1764014403647589275,0,23905326
315,1764014403657711877,0,21781202
316,1764014403667461278,0,23364882
317,1764014403677770279,0,21748597
318,1764014403687648880,0,23609016
319,1764014403697732181,0,25679239
320,1764014403707642083,0,23571064
321,1764014403717691584,0,21025347
322,1764014403727574485,0,24449914
323,1764014403737463386,0,21611055
324,1764014403747592887,0,23867506
325,1764014403757519089,0,25915296
326,1764014403767375990,0,24709257
327,1764014403778008791,0,26039563
328,1764014403787753992,0,24235930
329,1764014403797654693,0,22259598
330,1764014403807419395,0,24601124
331,1764014403817564996,0,21445362
332,1764014403827394297,0,25539307
333,1764014403847868199,0,25060154
334,1764014403857682301,0,21905580
335,1764014403867623102,0,23314168
336,1764014403877374703,0,21386917
337,1764014403887832504,0,27601491
338,1764014403897500205,0,21453010
339,1764014403907401307,0,24624272
340,1764014403917734708,0,29897761
341,1764014403927863509,0,24764349
342,1764014403937352610,0,21917529
343,1764014403947541211,0,25217829
344,1764014403957729513,0,21235544
345,1764014403967604014,0,23376059
346,1764014403977875815,0,21546021
347,1764014403987415516,0,24105247
348,1764014403997407017,0,21348803
349,1764014404008010819,0,23078537
350,1764014404017879820,0,22147664
351,1764014404027649621,0,24411343
352,1764014404037459422,0,25999735
353,1764014404047637823,0,23336474
354,1764014404057369725,0,26576755
355,1764014404067710026,0,24407426
356,1764014404077479027,0,27498768
357,1764014404087897528,0,23518944
358,1764014404097735929,0,21462542
359,1764014404107645731,0,23841101
360,1764014404117862132,0,21801466
361,1764014404128292133,0,23684574
362,1764014404138401434,0,24998972
363,1764014404147731735,0,23081495
364,1764014404157560437,0,23225843
365,1764014404167914638,0,23760193
366,1764014404177313239,0,21420416
367,1764014404187279340,0,24757631
368,1764014404197669841,0,22004413
369,1764014404207404143,0,23420962
370,1764014404217381844,0,21264512
371,1764014404227882445,0,24750049
372,1764014404237694746,0,22205961
373,1764014404247565647,0,29824638
374,1764014404257887249,0,21409419
375,1764014404267579650,0,28173960
376,1764014404277581451,0,21304107
377,1764014404288075352,0,24032451
378,1764014404297724453,0,21369330
379,1764014404307486855,0,25107572
380,1764014404317893156,0,22156778
381,1764014404327920257,0,28056900
382,1764014404337803158,0,27305470
383,1764014404347637359,0,25805589
384,1764014404357317961,0,27415546
385,1764014404367938562,0,24010314
386,1764014404377994663,0,21316733
387,1764014404388034164,0,23995102
388,1764014404397696165,0,21452630
389,1764014404407181967,0,24003145
390,1764014404417732968,0,27278174
391,1764014404427927069,0,24162380
392,1764014404437706370,0,26386058
393,1764014404447643471,0,24989194
394,1764014404457732573,0,21668286
395,1764014404468105774,0,24754695
396,1764014404477447875,0,21892983
397,1764014404487462176,0,24862920
398,1764014404497453477,0,23140480
399,1764014404507533179,0,23537721
400,1764014404518101580,0,25305723
401,1764014404527574581,0,23978633
402,1764014404537691182,0,23380917
403,1764014404547512083,0,27605531
404,1764014404557192585,0,21829541
405,1764014404567682386,0,24803146
406,1764014404577546587,0,22638763
407,1764014404587622488,0,23737246
408,1764014404597844989,0,20915154
409,1764014404607669891,0,24779820
410,1764014404617733192,0,26971411
411,1764014404627382793,0,25929663
412,1764014404637926594,0,25700331
413,1764014404647865895,0,23376406
414,1764014404657807197,0,25742697
415,1764014404667968698,0,24370664
416,1764014404677784199,0,21829472
417,1764014404687675700,0,27425107
418,1764014404697425801,0,25237974
419,1764014404707304503,0,24231269
420,1764014404717288604,0,21916904
421,1764014404727245605,0,23271448
422,1764014404737296606,0,21064935
423,1764014404747261307,0,24257319
424,1764014404757278909,0,21151911
425,1764014404767318410,0,19025569
426,1764014404777409411,0,21440715
427,1764014404787518812,0,24096047
428,1764014404797736113,0,25000046
429,1764014404807324515,0,24907593
430,1764014404817754416,0,22087844
431,1764014404827538017,0,27703502
432,1764014404837625018,0,26885338
433,1764014404847373819,0,23674583
434,1764014404857872721,0,25270330
435,1764014404867569922,0,23308969
436,1764014404877482223,0,22818192
437,1764014404887462024,0,23599093
438,1764014404897723426,0,21076453
439,1764014404907701327,0,23576626
440,1764014404917548928,0,25999594
441,1764014404927966529,0,26963178
442,1764014404937799930,0,22117736
443,1764014404948042632,0,23150460
444,1764014404957413933,0,21372183
445,1764014404968094334,0,23277392
446,1764014404977691935,0,21222250
447,1764014404987881936,0,23036250
448,1764014404997576638,0,25743221
449,1764014405007284039,0,23673713
450,1764014405017232440,0,21653139
451,1764014405027625841,0,27482734
452,1764014405037285742,0,26442032
453,1764014405047854944,0,23462061
454,1764014405057450345,0,21126527
455,1764014405068105246,0,22725959
456,1764014405077731247,0,21274296
457,1764014405087670448,0,23873220
458,1764014405097692750,0,20885116
459,1764014405107377851,0,23257654
460,1764014405117495752,0,21166783
461,1764014405127526053,0,23838818
462,1764014405137752354,0,25468917
463,1764014405147551856,0,24140726
464,1764014405157805657,0,22185816
465,1764014405167908158,0,24062377
466,1764014405177779459,0,20675912
467,1764014405187362560,0,23570241
468,1764014405197485162,0,22448013
469,1764014405207577763,0,28020716
470,1764014405217227064,0,27217078
471,1764014405227340665,0,23818652
472,1764014405237880566,0,25334246
473,1764014405247952268,0,25033699
474,1764014405258013469,0,21424844
475,1764014405267686670,0,28335173
476,1764014405277421471,0,21873636
477,1764014405288033572,0,23049023
478,1764014405297506674,0,25767188
479,1764014405307973375,0,24187860
480,1764014405317668976,0,25744019
481,1764014405327533277,0,23177724
482,1764014405337608978,0,21222909
483,1764014405347566280,0,24028529
484,1764014405357372481,0,21516510
485,1764014405367360082,0,24716804
486,1764014405377767883,0,21598308
487,1764014405387522484,0,29232688
488,1764014405397346786,0,23797639
489,1764014405407863887,0,27115743
490,1764014405417634588,0,26684528
491,1764014405428057989,0,24746013
492,1764014405437408190,0,25237232
493,1764014405457435893,0,22562218
494,1764014405467916894,0,24399766
495,1764014405477478095,0,27968104
496,1764014405487687496,0,24599166
497,1764014405498034898,0,21022096
498,1764014405508426699,0,27196960
499,1764014405518175200,0,21017313
500,1764014405527461401,0,24693299
501,1764014405537147702,0,25681358
502,1764014405547443104,0,24340023
503,1764014405557612805,0,20842089
504,1764014405567145906,0,23289111
505,1764014405577454407,0,25749088
506,1764014405587295508,0,23356177
507,1764014405597327010,0,22229489
508,1764014405607422411,0,23389583
509,1764014405617386212,0,21156029
510,1764014405627447713,0,23174846
511,1764014405637459114,0,25078253
512,1764014405647485916,0,24034710
513,1764014405657453817,0,21729746
514,1764014405667484618,0,22794213
515,1764014405677490619,0,21231576
516,1764014405687405920,0,23138054
517,1764014405697482522,0,22007050
518,1764014405707476823,0,23057948
519,1764014405717538524,0,21120582
520,1764014405727524625,0,23406148
521,1764014405737513726,0,22381951
522,1764014405747527228,0,24425141
523,1764014405757835729,0,21276797
524,1764014405767472430,0,24377888
525,1764014405777312731,0,21932057
526,1764014405787399232,0,23335631
527,1764014405797386534,0,21919250
528,1764014405807584835,0,24044473
529,1764014405817751236,0,22182885
530,1764014405827752437,0,23341514
531,1764014405837837638,0,21438802
532,1764014405847634140,0,23808525
533,1764014405857428841,0,22449129
534,1764014405867869342,0,23870759
535,1764014405877680043,0,21623250
536,1764014405887547644,0,25121953
537,1764014405897916246,0,21240595
538,1764014405908407347,0,22983810
539,1764014405917941148,0,21033990
540,1764014405927651749,0,24286762
541,1764014405937910150,0,25655766
542,1764014405947562352,0,23931616
543,1764014405957501353,0,21177315
544,1764014405967997354,0,24660903
545,1764014405977877355,0,25815012
546,1764014405987632456,0,23430501
547,1764014405997581358,0,21924617
548,1764014406007546959,0,26923782
549,1764014406017351360,0,25216896
550,1764014406027382161,0,24117777
551,1764014406037319462,0,22193929
552,1764014406047305564,0,22938968
553,1764014406057380165,0,20991457
554,1764014406067398166,0,24142643
555,1764014406077365167,0,20797709
556,1764014406087391968,0,23394320
557,1764014406097409670,0,26120640
558,1764014406107421371,0,24588600
559,1764014406117500872,0,20891840
560,1764014406127524373,0,25583321
561,1764014406137507874,0,21728951
562,1764014406157352977,0,21366814
563,1764014406167430978,0,24831741
564,1764014406177935179,0,25750076
565,1764014406187609180,0,24130557
566,1764014406197673082,0,21488468
567,1764014406207650183,0,27914050
568,1764014406217334984,0,21710916
569,1764014406228142585,0,22821328
570,1764014406237991887,0,26239599
571,1764014406247413788,0,25010186
572,1764014406257420089,0,25769044
573,1764014406268135790,0,24325722
574,1764014406278029691,0,20840422
575,1764014406287740692,0,24657523
576,1764014406297719794,0,26639707
577,1764014406307974095,0,23274822
578,1764014406317848896,0,21245217
579,1764014406327482797,0,27707308
580,1764014406337783999,0,26066775
581,1764014406347961800,0,24180807
582,1764014406357590801,0,22362248
583,1764014406367224802,0,24026926
584,1764014406377527803,0,21517295
585,1764014406387668405,0,25030904
586,1764014406397623806,0,21424567
587,1764014406407561707,0,26379986
588,1764014406417906308,0,25563834
589,1764014406427958409,0,24315587
590,1764014406437388610,0,23025821
591,1764014406447914312,0,23599475
592,1764014406457566813,0,25863757
593,1764014406467581214,0,24441464
594,1764014406477668315,0,22287148
595,1764014406487467716,0,27505062
596,1764014406497355918,0,22009273
597,1764014406507374419,0,24429478
598,1764014406517554720,0,25398958
599,1764014406527460921,0,24218372
600,1764014406537260522,0,21981086
601,1764014406547520924,0,27225284
602,1764014406557535925,0,26462991
603,1764014406567834726,0,23471975
604,1764014406577616427,0,21216864
605,1764014406587497629,0,24255367
606,1764014406597793530,0,25005903
607,1764014406607472131,0,23770886
608,1764014406627252733,0,24900122
609,1764014406637734235,0,21247673
610,1764014406647521436,0,24551423
611,1764014406657726237,0,21787062
612,1764014406667399238,0,24546434
613,1764014406677333939,0,21733341
614,1764014406687625941,0,25353844
615,1764014406697574242,0,26370300
616,1764014406707722843,0,24289675
617,1764014406717480444,0,22497960
618,1764014406727342045,0,23308337
619,1764014406737405847,0,20987543
620,1764014406747667948,0,23880674
621,1764014406757474849,0,21998315
622,1764014406767456450,0,19211061
623,1764014406777465751,0,21999489
624,1764014406787426353,0,23093351
625,1764014406797466754,0,24884164
626,1764014406807477455,0,24190699
627,1764014406817616156,0,21842623
628,1764014406827578957,0,22656008
629,1764014406837676059,0,20771039
630,1764014406847600660,0,24319575
631,1764014406857716261,0,21521156
632,1764014406867954262,0,22771901
633,1764014406877413063,0,20890822
634,1764014406887582065,0,25213091
635,1764014406897838466,0,24925681
636,1764014406907838867,0,24237203
637,1764014406917313968,0,22153211
638,1764014406927671669,0,29283262
639,1764014406937569771,0,26452290
640,1764014406947556372,0,23170790
641,1764014406957366073,0,25577139
642,1764014406967417774,0,24893627
643,1764014406977596675,0,21710885
644,1764014406987352077,0,28371342
645,1764014406997955478,0,20937789
646,1764014407007851879,0,25038835
647,1764014407017773880,0,25108127
648,1764014407027794381,0,23000907
649,1764014407037572683,0,22437889
650,1764014407047702784,0,22917185
651,1764014407057672685,0,25774729
652,1764014407067416386,0,24782409
653,1764014407077663687,0,22182134
654,1764014407088115189,0,23012500
655,1764014407097793290,0,25944170
656,1764014407107575691,0,24995043
657,1764014407117805992,0,25334220
658,1764014407127296693,0,24092386
659,1764014407137737195,0,22203111
660,1764014407147975496,0,23940469
661,1764014407157907997,0,25626349
662,1764014407167386498,0,24295703
663,1764014407177396599,0,22629190
664,1764014407188103901,0,25522543
665,1764014407197498302,0,21561642
666,1764014407207473103,0,23886134
667,1764014407218033004,0,20655473
668,1764014407227546005,0,24627362
669,1764014407237718707,0,21087835
670,1764014407248011808,0,24812987
671,1764014407257727609,0,23119083
672,1764014407267335210,0,24790792
673,1764014407277585411,0,22473042
674,1764014407287400213,0,26372816
675,1764014407297704314,0,21276530
676,1764014407307612415,0,24105697
677,1764014407317228316,0,21635351
678,1764014407327386617,0,25058675
679,1764014407337356519,0,26303019
680,1764014407347445520,0,24598786
681,1764014407358076121,0,23109277
682,1764014407367860922,0,23135483
683,1764014407377615723,0,21556982
684,1764014407387624125,0,25778831
685,1764014407397674026,0,22987519
686,1764014407407917327,0,24395414
687,1764014407418083428,0,22439988
688,1764014407427217329,0,25350348
689,1764014407437559231,0,22753673
690,1764014407447968632,0,23988394
691,1764014407457524133,0,21760184
692,1764014407467735034,0,24290833
693,1764014407477405935,0,21256978
694,1764014407487987337,0,24197185
695,1764014407497731138,0,21914722
696,1764014407507240939,0,23559692
697,1764014407517779740,0,22101283
698,1764014407527567741,0,25247003
699,1764014407537394543,0,26215223
700,1764014407547489844,0,25317741
701,1764014407557538845,0,22760544
702,1764014407568019446,0,24150568
703,1764014407577528547,0,21310537
704,1764014407587746549,0,24142146
705,1764014407597692950,0,21131852
706,1764014407607466551,0,23428532
707,1764014407617237452,0,25529962
708,1764014407627474453,0,24683556
709,1764014407637391555,0,22210227
710,1764014407647570356,0,23545575
711,1764014407657670657,0,26595877
712,1764014407667866358,0,23812871
713,1764014407677644459,0,25642446
714,1764014407687503561,0,24384430
715,1764014407697809862,0,21697317
716,1764014407707649263,0,25036397
717,1764014407717668764,0,21652366
718,1764014407727342265,0,24080695
719,1764014407737908767,0,22067795
720,1764014407748187068,0,23192982
721,1764014407757834069,0,20962646
722,1764014407767408470,0,24107794
723,1764014407777705271,0,21373015
724,1764014407787442873,0,19085625
725,1764014407797363874,0,22133017
726,1764014407807332575,0,23961573
727,1764014407817396276,0,20878992
728,1764014407827377277,0,19273518
729,1764014407837449179,0,21024728
730,1764014407847433480,0,24218518
731,1764014407857488781,0,21286081
732,1764014407867509182,0,22915094
733,1764014407877473383,0,20697347
734,1764014407887538185,0,24097400
735,1764014407897513086,0,20892333
736,1764014407907403287,0,23047947
737,1764014407917515088,0,21434004
738,1764014407927528889,0,23943381
739,1764014407937572291,0,24680618
740,1764014407947507592,0,24242722
741,1764014407967403094,0,23321429
742,1764014407977722396,0,21131517
743,1764014407987495297,0,24373757
744,1764014407997827398,0,21852060
745,1764014408007319399,0,23396726
746,1764014408017750900,0,20649414
747,1764014408027660502,0,24584417
748,1764014408037842203,0,26318047
749,1764014408047993304,0,23903971
750,1764014408057623305,0,22600170
751,1764014408067692206,0,23002320
752,1764014408077430107,0,21024763
753,1764014408087680009,0,23724533
754,1764014408097575810,0,27319893
755,1764014408107702111,0,25369505
756,1764014408117618512,0,25657092
757,1764014408127541314,0,24412637
758,1764014408137601415,0,23006389
759,1764014408147577116,0,27944067
760,1764014408157278317,0,21497088
761,1764014408167637618,0,24251818
762,1764014408177921920,0,20844515
763,1764014408187380821,0,24665369
764,1764014408197582022,0,27032632
765,1764014408208032623,0,24980933
766,1764014408217604824,0,25494179
767,1764014408228033626,0,22464275
768,1764014408237537727,0,21149534
769,1764014408247408328,0,24912943
770,1764014408257614229,0,25620285
771,1764014408267673330,0,23994189
772,1764014408277799132,0,26162429
773,1764014408287565333,0,24040093
774,1764014408297539234,0,26664451
775,1764014408307398835,0,24988067
776,1764014408317936736,0,22209700
777,1764014408327920738,0,28515292
778,1764014408337600939,0,26338551
779,1764014408348032540,0,24777563
780,1764014408357590441,0,23165108
781,1764014408367556042,0,23487515
782,1764014408377338344,0,21776299
783,1764014408387339545,0,25243334
784,1764014408397461546,0,26581260
785,1764014408407548647,0,24565642
786,1764014408417641748,0,21686421
787,1764014408427589350,0,23581198
788,1764014408437693451,0,20828943
789,1764014408447919152,0,24055182
790,1764014408457575353,0,26377716
791,1764014408467977154,0,24549225
792,1764014408477532356,0,21354179
793,1764014408487526657,0,23404057
794,1764014408497670558,0,25316265
795,1764014408507688059,0,24580626
796,1764014408517316760,0,23422700
797,1764014408527514262,0,28477276
798,1764014408537789263,0,21230157
799,1764014408547315164,0,25808454
800,1764014408557362965,0,21481685
801,1764014408567684266,0,23363511
802,1764014408577551568,0,21087422
803,1764014408587696769,0,24728184
804,1764014408597687570,0,26679534
805,1764014408607693371,0,26087367
806,1764014408617872172,0,22635815
807,1764014408628020374,0,22698851
808,1764014408637351675,0,21245012
809,1764014408647731576,0,24434372
810,1764014408657530877,0,22021519
811,1764014408667492478,0,23265594
812,1764014408677632680,0,21111486
813,1764014408687834081,0,24815872
814,1764014408697704982,0,25607917
815,1764014408707759383,0,23701190
816,1764014408717366284,0,22604574
817,1764014408727914386,0,25395724
818,1764014408737812787,0,26265235
819,1764014408747507788,0,25538296
820,1764014408757714089,0,21969385
821,1764014408767561890,0,24328608
822,1764014408777697292,0,25405535
823,1764014408787724193,0,24112003
824,1764014408797616094,0,25572169
825,1764014408807367595,0,22967182
826,1764014408817371696,0,21093875
827,1764014408827450198,0,24019013
828,1764014408837349299,0,22119536
829,1764014408847364500,0,23376844
830,1764014408857507201,0,21241703
831,1764014408867524302,0,24352439
832,1764014408877642804,0,21672277
833,1764014408887551505,0,23166737
834,1764014408897456406,0,20917703
835,1764014408907735307,0,23542043
836,1764014408917843308,0,22195065
837,1764014408927749310,0,23497963
838,1764014408937656211,0,21058570
839,1764014408947381612,0,24518207
840,1764014408957693413,0,21956885
841,1764014408967525314,0,23770668
842,1764014408977352416,0,21446022
843,1764014408987535617,0,24556829
844,1764014408997728718,0,22423672
845,1764014409007733919,0,28593384
846,1764014409017624920,0,22432162
847,1764014409027700422,0,23288266
848,1764014409037868023,0,22693137
849,1764014409047612324,0,23724361
850,1764014409057789125,0,20920360
851,1764014409067944626,0,24404214
852,1764014409077831928,0,25256950
853,1764014409087453729,0,23578912
854,1764014409097866330,0,21810202
855,1764014409107439831,0,24068660
856,1764014409117375632,0,21080847
857,1764014409127563434,0,22881249
858,1764014409137468435,0,21908758
859,1764014409147342436,0,23004323
860,1764014409157350837,0,22043349
861,1764014409167377838,0,24056563
862,1764014409177437740,0,20628923
863,1764014409187460441,0,23165690
864,1764014409197411642,0,21614212
865,1764014409207489143,0,23395852
866,1764014409217531544,0,24933218
867,1764014409227326246,0,24824634
868,1764014409237484947,0,22481934
869,1764014409247851748,0,22657100
870,1764014409257657649,0,21145505
871,1764014409267853351,0,24106099
