timestamp_utc,rel_start_sec,rel_end_sec,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent
1764010800,0.0,0.10033,0.10033000260591507,371712.0,29639150.0325216,,,,
1764010800.10033,0.10033,0.200357,0.10002700239419937,971520.0,77700618.97256967,,,,
1764010800.200357,0.200357,0.3002,0.09984300285577774,1178496.0,94427929.15211704,,,,
1764010800.3002,0.3002,0.400055,0.0998549982905388,1675520.0,134236244.84974867,,,,
1764010800.400055,0.400055,0.500167,0.10011199861764908,1096832.0,87648395.0091981,,,,
1764010800.500167,0.500167,0.600089,0.09992200136184692,1636096.0,130989850.29935224,,,,
1764010800.600089,0.600089,0.700139,0.10005000233650208,1652992.0,132173270.27663048,,,,
1764010800.700139,0.700139,0.800186,0.10004699975252151,1676928.0,134091217.45964088,,,,
1764010800.800186,0.800186,0.900209,0.10002300143241882,865920.0,69257669.743899,,,,
1764010800.900209,0.900209,1.000274,0.10006500035524368,1491072.0,119208274.19829124,,,,
1764010801.000274,1.000274,1.100505,0.10023099929094315,1105280.0,88218615.62343,,,,
1764010801.100505,1.100505,1.200435,0.099930003285408,1182720.0,94683875.60216987,,,,
1764010801.200435,1.200435,1.3005,0.10006500035524368,1126400.0,90053464.92788763,,,,
1764010801.3005,1.3005,1.400249,0.09974899888038635,1379840.0,110664970.31450953,,,,
1764010801.400249,1.400249,1.500443,0.10019399970769882,1186944.0,94771663.25031307,,,,
1764010801.500443,1.500443,1.600224,0.09978099912405014,1355904.0,108710396.72106771,,,,
1764010801.600224,1.600224,1.700372,0.10014799982309341,1079936.0,86267204.68967165,,,,
1764010801.700372,1.700372,1.800314,0.09994199872016907,1496704.0,119805808.90247524,,,,
1764010801.800314,1.800314,1.900234,0.09991999715566635,1381248.0,110588313.79653785,,,,
1764010801.900234,1.900234,2.0003,0.10006599873304367,1582592.0,126523855.85813563,,,,
1764010802.0003,2.0003,2.100256,0.0999559983611107,1341824.0,107393174.75694832,,,,
1764010802.100256,2.100256,2.200163,0.0999070033431053,1254528.0,100455660.4058389,,,,
1764010802.200163,2.200163,2.30031,0.10014700144529343,1467136.0,117198596.36947326,,,,
1764010802.30031,2.30031,2.400129,0.09981899708509445,1536128.0,123113078.26028106,,,,
1764010802.400129,2.400129,2.500363,0.1002340018749237,1146112.0,91474907.00252937,,,,
1764010802.500363,2.500363,2.600183,0.09982000291347504,991232.0,79441552.47995412,,,,
1764010802.600183,2.600183,2.700137,0.0999540016055107,895488.0,71672007.9729658,,,,
1764010802.700137,2.700137,2.800168,0.10003100335597992,1105280.0,88394994.58516033,,,,
1764010802.800168,2.800168,2.900109,0.0999410003423691,1210880.0,96927586.94444713,,,,
1764010802.900109,2.900109,3.000162,0.10005299746990204,868736.0,69462066.86202146,,,,
1764010803.000162,3.000162,3.100319,0.1001570001244545,1129216.0,90195672.68163726,,,,
1764010803.100319,3.100319,3.200516,0.10019700229167938,1046144.0,83526969.95501827,,,,
1764010803.200516,3.200516,3.300354,0.0998380035161972,1220736.0,97817340.6524063,,,,
1764010803.300354,3.300354,3.40042,0.10006599873304367,1233408.0,98607560.25954343,,,,
1764010803.40042,3.40042,3.500255,0.09983500093221664,867328.0,69500915.8632753,,,,
1764010803.500255,3.500255,3.600264,0.1000090017914772,927872.0,74223078.59323707,,,,
1764010803.600264,3.600264,3.700223,0.09995900094509125,1101056.0,88120608.6167127,,,,
1764010803.700223,3.700223,3.800352,0.10012900084257126,1113728.0,88983450.59897834,,,,
1764010803.800352,3.800352,3.900193,0.09984099864959717,850432.0,68142908.14415297,,,,
1764010803.900193,3.900193,4.000176,0.09998299926519394,1239040.0,99140054.53775854,,,,
1764010804.000176,4.000176,4.100338,0.10016199946403503,1050368.0,83893532.92629933,,,,
1764010804.100338,4.100338,4.200216,0.0998779982328415,1002496.0,80297644.54533197,,,,
1764010804.200216,4.200216,4.300403,0.10018700361251831,1220736.0,97476595.245531,,,,
1764010804.300403,4.300403,4.400201,0.0997980013489723,1179904.0,94583377.1459312,,,,
1764010804.400201,4.400201,4.500169,0.09996800124645233,978560.0,78309858.1785221,,,,
1764010804.500169,4.500169,4.600287,0.1001179963350296,1005312.0,80330173.3395364,,,,
1764010804.600287,4.600287,4.700433,0.10014600306749344,1260160.0,100665824.80786295,,,,
1764010804.700433,4.700433,4.800515,0.10008200258016586,961664.0,76870084.54729554,,,,
1764010804.800515,4.800515,4.900333,0.09981799870729446,1130624.0,90614840.1805116,,,,
1764010804.900333,4.900333,5.000236,0.09990300238132477,867328.0,69453608.3461798,,,,
1764010805.000236,5.000236,5.100138,0.0999019965529442,920832.0,73738826.59187855,,,,
1764010805.100138,5.100138,5.200246,0.10010799765586853,933504.0,74599754.0143808,,,,
1764010805.200246,5.200246,5.300602,0.10035599768161774,1063040.0,84741522.1457934,,,,
1764010805.300602,5.300602,5.400285,0.0996830016374588,1144704.0,91867538.59304686,,,,
1764010805.400285,5.400285,5.500149,0.09986399859189987,1329152.0,106476970.17874545,,,,
1764010805.500149,5.500149,5.600245,0.10009600222110748,878592.0,70219947.2909402,,,,
1764010805.600245,5.600245,5.700102,0.09985700249671936,1326336.0,106258827.47029781,,,,
1764010805.700102,5.700102,5.800279,0.10017699748277664,1085568.0,86691997.34692715,,,,
