# timestamp_sec bandwidth_mbps
0.000	1.324752
1.449	1.244176
2.900	1.019272
4.323	1.218320
5.829	0.925456
7.214	1.177752
10.794	1.313048
11.536	1.227392
12.961	1.192296
14.404	1.265416
15.863	1.200888
17.289	1.302304
18.725	1.305928
20.183	1.257112
21.605	1.264328
23.049	1.247584
24.497	1.184792
25.921	1.300776
27.361	1.265064
28.818	1.261280
29.516	1.289520
30.244	1.319144
31.676	1.307592
33.136	1.331568
35.273	1.279936
35.998	1.244984
37.464	1.373720
38.890	1.219152
40.332	1.224488
41.034	1.172528
41.775	1.266912
43.213	1.255832
46.096	1.205528
47.523	1.308208
48.965	1.200192
50.415	1.208560
51.841	1.350160
53.285	1.084712
54.736	1.243480
56.166	1.204056
57.605	1.239488
59.061	1.231552
61.918	1.230088
62.636	1.282624
63.373	1.262872
64.804	1.194640
66.238	1.259160
67.696	1.246552
68.392	1.253496
69.117	1.181096
69.836	1.369048
70.564	1.278504
72.026	1.271560
73.450	1.253424
74.880	1.278352
76.339	1.246208
77.768	1.216536
79.207	1.136736
80.660	1.240456
82.084	1.310816
83.525	1.199232
84.974	1.340288
87.839	1.352896
89.297	1.259880
89.996	1.292760
90.723	1.246256
92.160	1.296920
93.636	1.277136
94.313	1.249360
95.040	1.006504
96.485	1.287712
97.943	1.244000
99.360	1.201672
100.809	1.221168
102.258	1.272416
103.706	1.212408
105.122	1.305240
106.579	1.301072
107.997	1.324424
109.439	1.335672
110.899	1.271376
116.669	1.232320
122.400	1.185552
123.865	1.185520
125.289	1.261712
126.720	1.212592
128.175	1.279336
129.600	1.254864
131.048	1.254936
132.495	1.220896
133.922	1.233488
135.359	1.262112
138.237	1.241552
139.677	1.272512
141.131	1.209824
141.835	1.238736
142.557	1.308384
143.276	1.120968
144.000	1.354408
144.712	1.262840
145.460	1.199312
146.883	1.131216
148.321	1.146400
149.780	1.197480
151.206	1.301744
152.650	1.242224
154.105	1.119408
155.529	1.296840
156.964	1.003192
158.420	1.241016
159.839	1.280480
161.276	1.278824
162.736	1.321040
164.157	1.296504
165.600	1.296984
168.517	1.095984
171.370	1.304832
172.812	1.065136
174.241	1.281352
175.699	1.297520
177.122	1.266256
178.565	1.324072
180.020	0.952696
181.449	1.276584
182.881	1.251152
184.333	1.259776
187.198	1.293112
188.651	1.233200
190.079	1.259464
191.520	1.376632
192.967	1.347168
193.673	1.220952
195.881	1.290568
197.318	1.309128
198.757	1.185136
200.193	1.169024
201.640	1.208680
203.075	1.264272
204.529	1.270456
205.971	1.268856
207.402	1.309944
208.831	1.353088
210.273	1.291928
211.713	1.290296
213.157	1.298456
214.593	1.185456
217.478	1.379056
218.917	1.260024
220.355	1.048832
221.809	1.313888
223.245	1.074000
224.686	1.339840
226.126	1.332544
227.566	1.325440
229.006	1.302000
230.442	1.314344
231.875	1.242176
233.319	1.296208
234.764	1.300840
236.196	1.318536
237.641	1.224384
240.534	1.288512
241.974	1.254088
243.391	1.229976
244.832	1.276248
246.273	1.260928
247.717	1.063536
249.160	1.212096
250.603	1.191584
252.037	1.154320
253.476	1.219584
256.373	1.271176
257.799	1.246400
260.674	1.289784
262.119	1.249520
263.547	1.293552
264.987	1.230736
266.427	1.237656
267.869	1.255592
269.314	1.200480
270.764	1.234272
272.195	1.132952
273.655	1.090904
275.089	1.255608
276.527	1.240000
277.958	1.245032
279.392	1.201128
280.838	1.234168
282.271	1.316544
283.711	1.196176
285.153	1.069008
286.595	1.253192
288.027	1.255760
289.473	1.248248
290.926	1.129968
293.806	1.291080
295.250	1.269832
296.686	1.346528
298.121	1.315992
299.559	1.034824
300.997	1.275584
302.433	1.209280
303.951	1.209560
305.321	1.071392
306.754	1.278952
308.208	1.230064
309.646	1.219896
311.087	1.185928
312.525	1.270488
313.962	1.263768
315.401	1.033120
316.840	1.318376
318.273	1.181440
319.716	1.038120
321.149	1.273536
322.598	1.233872
324.028	1.353920
325.476	1.220744
326.921	1.199392
328.355	1.303080
329.822	1.285824
331.234	1.324376
332.676	1.441440
334.127	1.341616
335.559	1.225088
336.992	1.259496
338.443	1.229064
339.882	1.309864
341.310	1.270968
342.768	1.283568
344.204	1.085288
345.645	1.335928
347.080	1.218624
348.517	1.346560
349.955	1.327984
351.396	1.369880
352.830	1.322504
354.271	1.314720
355.707	1.317720
357.162	1.077440
358.605	1.236912
362.976	1.312520
364.356	1.296384
365.797	1.306528
367.239	1.172960
368.693	1.291096
370.122	1.256464
371.559	0.038160
372.993	1.318856
374.428	1.208504
375.870	1.255192
377.316	1.168256
378.781	1.253704
380.210	1.168864
381.650	1.316032
383.086	1.246232
384.514	1.273232
385.965	1.226344
387.401	1.105248
388.837	1.136144
390.275	1.125720
391.714	1.191800
393.157	1.341648
394.607	1.197632
396.053	1.230376
397.484	1.248576
398.908	1.267576
400.347	1.296544
401.864	1.095856
403.224	1.239112
404.673	1.035992
406.124	1.203768
407.562	1.291400
408.997	1.199040
413.324	1.248224
414.764	1.235208
416.198	1.245648
417.633	1.216272
419.079	1.094504
420.510	1.343592
421.954	1.230720
423.394	1.235216
424.826	1.172744
426.278	1.261432
427.707	1.174112
429.163	1.286744
430.618	1.277472
433.473	1.229544
434.916	1.213008
436.360	1.203368
437.797	1.134136
439.241	1.227152
